team_name,project_name,source_code_url,video_url,homepage_url,created_at,updated_at,identifier,member_count,data_sets,challenge_names
Simple Canberra covid contact dashboard,Covid19 exposure locations in the ACT,https://github.com/act-covid-resources/covid_canberra,https://youtu.be/budg-aAoO8U,https://the-statistics-network-ssn.shinyapps.io/govhack2021/,2021-08-22 16:55:30 +1000,2021-08-22 16:55:30 +1000,covid19_exposure_locations_in_the_act,1,"[""https://raw.githubusercontent.com/green-striped-gecko/covid_canberra/main/data/last.csv""]","[""The future of transport""]"
Team Aristotle Metadata,SITH - Skills Identification & Transferability Handbook,https://github.com/Aristotle-Metadata-Enterprises/SITH-govhack,https://youtu.be/8lylGEAYXvc,https://aristotle-sith-govhack.netlify.app/,2021-08-22 16:38:53 +1000,2021-08-22 16:38:53 +1000,sith_skills_identification_transferability_handbook,4,"[""https://www.abs.gov.au/ausstats/subscriber.nsf/log?openagent&12200%20anzsco%20first%20edition%20revision%201%20structure.xls&1220.0&Data%20Cubes&361D6322131CCCEFCA2575DF001C6E14&0&First%20Edition,%20Revision%201&25.06.2009&Latest"", ""https://www.abs.gov.au/statistics/labour/earnings-and-work-hours/employee-earnings-and-hours-australia/may-2018/63060do011_201805.xls"", ""https://www.nationalskillscommission.gov.au/sites/default/files/2021-07/Australian%20Skills%20Classification%2012-03-2021.xlsx""]","[""Exploring the National Skills Commission’s Australian Skills Classification"", ""Our financial future"", ""Reimagining Digital Government Services""]"
Zirkarta,Charger certainty,https://drive.google.com/drive/folders/1U0HTVdu0T325ar0Kj-X1Ak42iFMzjr8-?usp=sharing,https://youtu.be/jxWQHm-EFf0,"",2021-08-22 16:16:52 +1000,2021-08-22 16:16:52 +1000,charger_certainty,2,"[""https://actmapi-actgov.opendata.arcgis.com/datasets/act-road-centrelines/explore?location=-35.320850%2C149.636050%2C9.07""]","[""The Electric Vehicle Future""]"
Zirkarta,Get more from less,https://drive.google.com/drive/folders/1ItyH_yelM5bx0rI2bgqr2uuebEjXCTPc,https://youtu.be/FUFaOZ3IB0o,"",2021-08-22 16:14:34 +1000,2021-08-22 16:14:34 +1000,get_more_from_less,2,"[""https://actmapi-actgov.opendata.arcgis.com/datasets/act-soil-landscapes/explore?location=-35.522100%2C149.086000%2C9.88"", ""https://actmapi-actgov.opendata.arcgis.com/datasets/2015-10m-contours/explore?location=-35.423812%2C149.136549%2C12.99""]","[""IoT insights for better regional agribusiness at scale"", ""The digital future of agriculture""]"
AfterRealism,Digital Twin,https://github.com/sheecegardezi/GovHack2021DigitalTwin,https://user-images.githubusercontent.com/7543039/130344153-4dacc420-0931-4be1-bfd0-1db79bda2cc7.mp4,https://sheecegardezi.github.io/GovHack2021DigitalTwin/,2021-08-22 16:13:39 +1000,2021-08-22 16:13:39 +1000,digital_twin,2,"[""https://data-1-hobartcc.opendata.arcgis.com/datasets/building-footprints/explore"", ""https://data-1-hobartcc.opendata.arcgis.com/datasets/city-of-hobart-playground-locations/explore?location=-42.890758%2C147.304356%2C12.67"", ""https://data-1-hobartcc.opendata.arcgis.com/datasets/urban-art-walls/explore"", ""https://services.thelist.tas.gov.au/arcgis/rest/services/Public/Infrastructure/MapServer/18"", ""https://data-1-hobartcc.opendata.arcgis.com/maps/hobart-interim-planning-scheme-2015-zones/about"", ""https://data-1-hobartcc.opendata.arcgis.com/datasets/local-overlays-heritage-areas-2015"", ""https://elevation.fsdf.org.au/"", ""https://data-1-hobartcc.opendata.arcgis.com/datasets/contour-0-5m"", ""https://www.arcgis.com/home/webscene/viewer.html?url=https://services1.arcgis.com/NHqdsnvwfSTg42I8/ArcGIS/rest/services/3D_model_no_textures_WSL1/SceneServer""]","[""Artificial Intelligence and Machine Learning for a Digital Twin""]"
Ken Behrens,Where to BBQ?,https://github.com/cherianb59/where_to_bbq,https://youtu.be/SI0ljv_8Rw0,http://wheretobbq.dsssmbl.com/,2021-08-22 15:53:14 +1000,2021-08-22 15:53:14 +1000,where_to_bbq,1,"[""https://www.data.act.gov.au/resource/n3b4-mm52.csv"", ""https://www.data.act.gov.au/resource/8eg4-uskm.csv"", ""https://www.data.act.gov.au/resource/ch39-bukk.csv"", ""https://www.data.act.gov.au/resource/3tyf-txjn.csv""]","[""Reimagining Digital Government Services"", ""ROAD TO RECOVERY Public Spaces""]"
Databaes,Career Gameplan,https://github.com/miccou/govhack-2021,https://youtu.be/XFuVdRtCN-0,"",2021-08-22 15:50:48 +1000,2021-08-22 15:50:48 +1000,career_gameplan,3,"[""https://moretonbayjobs.com.au/find-a-job/"", ""https://www.courseseeker.edu.au/"", ""https://github.com/duyet/skill2vec-dataset"", ""https://www.nationalskillscommission.gov.au/our-work/australian-skills-classification""]","[""Exploring the National Skills Commission’s Australian Skills Classification"", ""Youth education and employment"", ""Jobs and Growth for Moreton Bay (QLD)""]"
Team FinVenger,FinVenger - Secure Your Future!,https://drive.google.com/drive/u/1/folders/1yTJocuFfkXI2HSOlqAVEpElssWAqG8NL,https://www.youtube.com/watch?v=DgPgkKYU3GI,"",2021-08-22 14:55:01 +1000,2021-08-22 14:55:01 +1000,finvenger_secure_your_future,6,"[""https://www.abs.gov.au/statistics/economy/finance/household-expenditure-survey-australia-summary-results/latest-release"", ""https://data.gov.au/dataset/ds-dga-2805b28d-2c3b-47e2-87c3-50aacc6ea212/distribution/dist-dga-38cd55ba-bed2-45f5-906c-21e2b9cfb6f2/details?q="", ""https://data.gov.au/dataset/ds-dga-2805b28d-2c3b-47e2-87c3-50aacc6ea212/distribution/dist-dga-dac8cc49-782a-413a-af43-7c8fea790bdf/details?q="", ""https://data.gov.au/dataset/ds-dga-2805b28d-2c3b-47e2-87c3-50aacc6ea212/distribution/dist-dga-1c7b790f-1c0f-4c3d-981d-b5641ca9b9e1/details?q="", ""https://data.gov.au/dataset/ds-dga-2805b28d-2c3b-47e2-87c3-50aacc6ea212/distribution/dist-dga-052b8d2b-0151-4206-9ecb-4153c13aa418/details?q="", ""https://data.gov.au/dataset/ds-dga-67805656-9af9-4785-88d8-f0289afa12d4/distribution/dist-dga-ddbb3002-6acd-4c95-87eb-b1fc222143b1/details?q="", ""https://data.gov.au/dataset/ds-dga-ce4c58ec-c930-4a05-8a37-f244d960e5f8/details?q="", ""https://data.gov.au/dataset/ds-dga-2805b28d-2c3b-47e2-87c3-50aacc6ea212/details?q=""]","[""Our financial future""]"
Team 1612,Individualized Super Assessment,https://github.com/venky2k11/govhack2021,https://drive.google.com/file/d/1C7jfU1OVQH5xaRGaNU1S8kt8OwBZiRbY/view?usp=sharing,"",2021-08-22 09:47:05 +1000,2021-08-22 09:47:05 +1000,individualized_super_assessment,2,"[""https://data.gov.au/dataset/ds-dga-2805b28d-2c3b-47e2-87c3-50aacc6ea212/details?q=""]","[""Our financial future""]"
Sleep is Optional,Crash Map Qld,https://github.com/yetanothercarbot/govhack2021,https://youtu.be/0bKnifgbkNI,http://crashmap.xyz,2021-08-23 19:23:29 +1000,2021-08-23 19:23:29 +1000,crash_map_qld,2,"[""https://www.data.qld.gov.au/dataset/crash-data-from-queensland-roads/resource/e88943c0-5968-4972-a15f-38e120d72ec0"", "" https://www.data.qld.gov.au/dataset/traffic-census-for-the-queensland-state-declared-road-network""]","[""Road Safety""]"
